;Table name : Molecules
;MariaDB types
;INT NOT NULL : ObjID,ID
;BOOLEAN NOT NULL DEFAULT 0 : Mol_CO,Mol_C,Mol_HCN,Mol_HCO,Mol_N2H,Mol_CS,Mol_CN,Mol_CH3OH,Mol_SiO
;FLOAT NOT NULL DEFAULT -99.0 :Mol_Flow
;VARCHAR(255) NOT NULL DEFAULT 'N.A.': Pub_mol,Pub_F
;VARCHAR(30) NOT NULL DEFAULT 'N.A.': Mol_tracer
;CONSTRAINT PRIMARY KEY (ObjID)
;CONSTRAINT FOREIGN KEY (ID) REFERENCES Identity(ID) ON DELETE CASCADE
;ObjID,Mol_CO,Mol_C,Mol_HCN,Mol_HCO,Mol_N2H,Mol_CS,Mol_CN,Mol_CH3OH,Mol_SiO,Pub_mol,Mol_Flow,Mol_tracer,Pub_F,ID
60,1,0,0,0,0,0,0,0,0,Kim et al 2019,0,N.A.,N.A.,60
61,1,0,1,0,1,0,0,0,0,Kim et al 2019/Kim et al 2021,1,12CO,Kim et al 2019,61
62,1,0,1,0,1,0,0,0,0,Kim et al 2019/Kim et al 2021,1,12CO,Kim et al 2019,62
63,1,0,0,0,0,0,0,0,0,Kim et al 2019,1,12CO,Kim et al 2019,63
64,1,0,1,0,1,0,0,0,0,Kim et al 2019/Kim et al 2021,0,N.A.,N.A.,64
65,0,0,1,0,1,0,0,0,0,Kim et al 2021,0,N.A.,N.A.,65
66,0,0,1,0,1,0,0,0,0,Kim et al 2021,0,N.A.,N.A.,66
67,1,0,1,0,1,0,0,0,0,Kim et al 2019/Kim et al 2021,0,N.A.,N.A.,67
68,1,0,1,0,1,0,0,0,0,Kim et al 2019/Kim et al 2021,0,N.A.,N.A.,68
69,1,0,1,0,1,0,0,0,0,Kim et al 2019/Kim et al 2021,0,N.A.,N.A.,69
70,0,0,1,0,1,0,0,0,0,Kim et al 2021,0,N.A.,N.A.,70
71,1,0,1,0,1,0,0,0,0,Kim et al 2019/Kim et al 2021,0,N.A.,N.A.,71
72,1,0,1,0,1,0,0,0,0,Kim et al 2019/Kim et al 2021,0,N.A.,N.A.,72
73,1,0,1,0,1,0,0,0,0,Kim et al 2019/Kim et al 2021,0,N.A.,N.A.,73
74,1,0,1,0,1,0,0,0,0,Kim et al 2019/Kim et al 2021,0,N.A.,N.A.,74
75,1,0,1,0,1,0,0,0,0,Kim et al 2019/Kim et al 2021,0,N.A.,N.A.,75
76,1,0,1,0,1,0,0,0,0,Kim et al 2019/Kim et al 2021,0,N.A.,N.A.,76
77,1,0,1,0,1,0,0,0,0,Kim et al 2019/Kim et al 2021,0,N.A.,N.A.,77
84,1,0,0,0,0,0,0,0,0,Kim et al 2019,0,N.A.,N.A.,84
85,1,0,0,0,0,0,0,0,0,Kim et al 2019,0,N.A.,N.A.,85
87,1,0,0,0,0,0,0,0,0,Kim et al 2019,0,N.A.,N.A.,87
96,1,0,0,1,1,0,0,0,0,Furuya et al 2009/Furuya et al 2019,1,12CO,Furuya et al 2019,96
