;Table name:Position
;MariaDB types
;INT NOT NULL : ObjID,ID
;FLOAT NOT NULL DEFAULT -99.0 : Distance,eDistance
;DOUBLE NOT NULL DEFAULT -99.0 : Decl,RA
;VARCHAR(30) NOT NULL DEFAULT "N.A." : Region,Type,Class,RA_hms,Decl_dms
;VARCHAR(255) NOT NULL DEFAULT "N.A." : Pub_Position
;CONSTRAINT PRIMARY KEY (ObjID)
;CONSTRAINT FOREIGN KEY (ID) REFERENCES Identity(ID) ON DELETE CASCADE
;ObjID,RA,RA_hms,Decl,Decl_dms,Distance,eDistance,Region,Type,Class,Pub_Position,ID
41,326.775,21:47:06.0,47.660833333333336,+47:39:39,600.0,100.0,IC5146,VeLLO,I,"Kim16,Kim19",41
42,337.49750000000006,22:29:59.4,75.23416666666667,+75:14:03,339.0,1.,Cepheus,VeLLO/D,I,"Kim16,Kim19",42
43,337.7729166666666,22:31:05.5,75.227,+75:13:37.2,339.0,1.0,Cepheus,VeLLO/D,0,"Kim16,Kim19",43
44,60.37083333333334,04:01:29.0,41.35777777777778,+41:21:28,450.0,23.0,California,VeLLO,0,Kim16,44
45,66.30499999999999,04:25:13.2,26.529166666666665,+26:31:45,137.0,10.0,Taurus,VeLLO,0,"Kim16,Kim19",45
46,67.06291666666665,04:28:15.1,36.50777777777778,+36:30:28,450.0,23.0,California,VeLLO,I,"Kim16,Kim19",46
47,67.73291666666667,04:30:55.9,34.94638888888889,+34:56:47,450.0,23.0,California,VeLLO,I,"Kim16,Kim19",47
48,68.54791666666667,04:34:11.5,24.06138888888889,+24:03:41,137.0,10.0,Taurus,VeLLO,I,"Kim16,Kim19",48
49,69.7875,04:39:09.0,26.246944444444445,+26:14:49,137.0,10.0,Taurus,VeLLO,0,"Kim16,Kim19",49
50,70.09333333333335,04:40:22.4,25.975555555555555,+25:58:32,137.0,10.0,Taurus,VeLLO,I,"Kim16,Kim19",50
51,70.53916666666666,04:42:09.4,25.27638888888889,+25:16:35,137.0,10.0,Taurus,VeLLO,I,"Kim16,Kim19",51
52,83.76958333333333,05:35:04.7,-5.62,-05:37:12,420.0,42.0,Orion,VeLLO,0,Kim16,52
53,83.87833333333333,05:35:30.8,-6.442222222222222,-06:26:32,420.0,42.0,Orion,VeLLO,I,Kim16,53
54,84.05375,05:36:12.9,-6.391666666666667,-06:23:30.6,420.0,42.0,Orion,VeLLO,I,Kim16,54
55,84.12625,05:36:30.3,-4.5377777777777775,-04:32:16,420.0,42.0,Orion,VeLLO,I,Kim16,55
56,84.51416666666665,05:38:03.4,-6.970833333333333,-06:58:15,420.0,42.0,Orion,VeLLO,0,Kim16,56
57,88.57666666666667,05:54:18.4,1.8175,+01:49:03,420.0,42.0,Orion,VeLLO,I,Kim16,57
58,121.38749999999999,08:05:33.0,-39.156666666666666,-39:09:24,440.0,100.0,BHR16,VeLLO,I,"Kim16,Kim19",58
59,167.47916666666669,11:09:55.0,-76.54472222222222,-76:32:41,192.0,6.0,Chamaeleon-I,VeLLO,Flat,"Kim16,Kim19",59
60,194.25625000000002,12:57:01.5,-76.80944444444444,-76:48:34,198.0,6.0,Chamaeleon-II,VeLLO,I,"Kim16,Kim19",60
61,235.57041666666666,15:42:16.9,-52.800555555555555,-52:48:02,250.0,50.0,DC3272+18,Proto-BD,0,"Dunham08,Kim16,Kim19",61
62,240.31458333333333,16:01:15.5,-41.87638888888889,-41:52:35,150.0,20.0,Lupus-IV,Proto-BD,I,"Dunham08,Kim16,Kim19",62
63,245.4379166666667,16:21:45.1,-23.70861111111111,-23:42:31,138.4,2.6,Ophiuchus,VeLLO,I,"Kim16,Kim19",63
64,271.16625,18:04:39.9,-4.022777777777778,-04:01:22,436.0,9.0,Aquila,VeLLO,I,"Kim16,Kim19",64
65,271.2054166666667,18:04:49.3,-4.610833333333334,-04:36:39,436.0,9.0,Aquila,VeLLO,I,Kim16,65
66,272.425,18:09:41.9,-3.523888888888889,-03:31:26,436.0,9.0,Aquila,VeLLO,I,Kim16,66
67,277.3004166666667,18:29:12.1,-1.8125000000000002,-01:48:45,436.0,9.0,Aquila,VeLLO,I,"Kim16,Kim19",67
68,277.4058333333333,18:29:37.4,-3.248055555555556,-03:14:53,436.0,9.0,Aquila,VeLLO/D,I,"Kim16,Kim19",68
69,277.49291666666664,18:29:58.3,-1.9611111111111108,-01:57:40,436.0,9.0,Aquila,VeLLO,I,"Kim16,Kim19",69
70,277.6983333333333,18:30:47.6,-2.732222222222222,-02:43:56,436.0,9.0,Aquila,VeLLO,0,Kim16,70
71,326.20124999999996,21:44:48.3,47.74991667,+47:44:59.7,600.0,100.0,IC5146,VeLLO/D,0,"Kim16,Kim19",71
72,326.73958333333337,21:46:57.5,47.539722222222224,+47:32:23,600.0,100.0,IC5146,VeLLO,I,"Kim16,Kim19",72
73,326.76250000000005,21:47:03.0,47.5538888888889,+47:33:14,600.0,100.0,IC5146,VeLLO,I,"Kim16,Kim19",73
74,326.9816666666667,21:47:55.6,47.61972222222222,+47:37:11,600.0,100.0,IC5146,VeLLO/D,I,"Kim16,Kim19",74
75,327.24375000000003,21:48:58.5,47.42855556,+47:25:42.8,600.0,100.0,IC5146,VeLLO/D,Flat,"Kim16,Kim19",75
76,329.03041666666667,21:56:07.3,76.70805555555556,+76:42:29,339.0,1.0,Cepheus,VeLLO,Flat,"Kim16,Kim19",76
77,337.38875,22:29:33.3,75.22111111111111,+75:13:16,339.0,1.0,Cepheus,VeLLO,I,"Kim16,Kim19",77
78,67.0775,04:28:18.6,36.90972222222222,+36:54:35,450.0,23.0,California,VeLLO,I,Kim16,78
79,68.00833333333333,04:32:02.0,25.278055555555557,+25:16:41,137.0,10.0,Taurus,VeLLO,I,Kim16,79
80,83.8925,05:35:34.2,-4.997777777777777,-04:59:52,420.0,42.0,Orion,VeLLO,0,Kim16,80
81,85.08458333333331,05:40:20.3,-7.85413889,-07:51:14.9,420.0,42.0,Orion,VeLLO,I,Kim16,81
82,85.37041666666667,05:41:28.9,-2.388611111111111,-02:23:19,420.0,42.0,Orion,VeLLO,I,Kim16,82
83,85.66333333333333,05:42:39.2,-10.029722222222222,-10:01:47,420.0,42.0,Orion,VeLLO,I,Kim16,83
84,164.99875,10:59:59.7,-77.18833333333333,-77:11:18,192.0,6.0,Chamaeleon-I,VeLLO,Flat,"Kim16,Kim19",84
85,183.52708333333334,12:14:06.5,-80.44027777777778,-80:26:25,193.0,12.0,Chamaeleon-III,VeLLO,0,"Kim16,Kim19",85
86,234.6441666666667,15:38:34.6,-34.805277777777775,-34:48:19,150.0,20.0,Lupus-I,VeLLO,I,Kim16,86
87,235.215,15:40:51.6,-34.35111111111111,-34:21:04,150.0,20.0,Lupus-I,Proto-BD,I,"Dunham08,Kim16,Kim19",87
88,235.91625000000002,15:43:39.9,-33.93166667,-33:55:54,150.0,20.0,Lupus-I,VeLLO,I,Kim16,88
89,236.45083333333335,15:45:48.2,-34.08611111111111,-34:05:10,150.0,20.0,Lupus-I,VeLLO,I,Kim16,89
90,241.97791666666666,16:07:54.7,-39.26222222222222,-39:15:44,200.0,20.0,Lupus-III,VeLLO,I,Kim16,90
91,277.0991666666667,18:28:23.8,-2.8311111111111114,-02:49:52,436.0,9.0,Aquila,VeLLO,0,Kim16,91
92,279.9004166666667,18:39:36.1,-0.19749999999999998,-00:11:51,436.0,9.0,Serpens,VeLLO,I,Kim16,92
93,315.91833333333335,21:03:40.4,68.44194444444445,+68:26:31,341.0,2.0,Cepheus,VeLLO,I,Kim16,93
94,286.0775,19:04:18.6,-37.59888888888889,-37:35:56,154,4.0,Corona_Australis,VeLLO,I,Kim16,94
96,312.87425,20:51:29.82,60.310583333333334,+60:18:38.5,270.0,10.0,GF9,VeLLO,0,"Furuya06,Palau14,Clemens18",96
97,64.49041666666666,04:17:57.7,27.68466667,+27:41:04.8,140.0,10.0,Taurus,Proto-BD,I,"Barrado09,Palau12,Morata15",97
101,51.2896,03:25:09.5,30.3978,+30:23:51.3,293.0,22.0,Perseus,VeLLO/FHC?,N.A.,"Enoch06,Pineda11,Palau14,Maureira20",101
117,337.63308333333333,22:30:31.94,75.23580555555556,+75:14:08.9,339.0,1.0,Cepheus,VeLLO/D,0,"Dunham08,Kauffmann08,Wu07,Lee10",117
142,277.471,18:29:53.04,0.6018888888888889,+00:36:06.8,436.0,9.0,Serpens,Proto-BD,Flat,Dunham08,142
162,64.65116666666667,04:18:36.28,27.245166666666666,+27:14:42.6,140.0,10.0,Taurus,Proto-BD,I,"Palau12,Morata15",162
163,64.69933333333333,04:18:47.84,27.681916666666666,+27:40:54.9,140.0,10.0,Taurus,Proto-BD/D,I,"Palau12,Morata15",163
164,64.91154166666666,04:19:38.77,28.39463888888889,+28:23:40.7,137.0,10.0,Taurus,Proto-BD,I,"Palau12,Morata15",164
165,193.23250000000002,12:52:55.8,-77.12638888888888,-77:07:35,198.0,6.0,Chamaeleon-II,Proto-BD,0,deGregorio2016,165
166,64.3599,04:17:26.38,27.655,+27:39:20.0,140.0,10.0,Taurus,Proto-BD,I,"Palau12,Morata15",166
167,64.418,04:17:40.32,28.4043,+28:24:15.5,140.0,10.0,Taurus,Proto-BD,I,"Palau12,Morata15",167
168,64.617,04:18:28.08,27.8197,+27:49:10.9,140.0,10.0,Taurus,Proto-BD,I,"Palau12,Morata15",168
169,64.8046,04:19:13.10,27.7906,+27:47:26.0,140.0,10.0,Taurus,Proto-BD,I,"Palau12,Morata15",169
171,65.0696,04:20:19.20,28.0094,+28:06:10.3,140.0,10.0,Taurus,Proto-BD,I,"Palau12,Morata15",171
172,65.3268,04:21:18.43,28.1111,+28:06:40.8,140.0,10.0,Taurus,Proto-BD,I,"Palau12,Morata15",172
173,53.3383,03:33:21.2,31.1288,+31:07:43.8,293.0,22.0,Perseus,VeLLO/FHC?,0,"Hirano14,Gerin17",173
174,53.3392,03:33:21.4,31.124,+31:07:26.4,293.0,22.0,Perseus,VeLLO/FHC?,0,"Hirano14,Gerin17",174
176,52.2821,03:29:07.7,31.288,+31:17:16.8,293.0,22.0,Perseus,VeLLO/FHC?,N.A.,"Lefloch98,Sandell01,Enoch06,Schnee12,Tobin16,Maureira20",176
177,234.2611,15:37:02.653,-33.3236,-33:19:24.92,94.0,4.0,Lupus-I,Pre-BD,N.A.,Santamaria21,177
178,234.8125,15:39:14.996,-33.4855,-33:29:07.62,153.35,4.64,Lupus-I,Proto-BD,I,Santamaria21,178
179,235.6195,15:42:28.67,-33.7084,-33:42:30.18,153.35,4.64,Lupus-I,Pre-BD,N.A.,Santamaria21,179
180,235.6241,15:42:29.778,-33.7116,-33:42:41.86,153.35,4.64,Lupus-I,Proto-BD,0/I,Santamaria21,180
181,236.2355,15:44:56.52,-34.4258305,-34:25:32.99,153.35,4.64,Lupus-I,Pre-BD,N.A.,Santamaria21,181
182,236.2419166,15:44:58.06,-34.4245861,-34:25:28.51,153.35,4.64,Lupus-I,Pre-BD,N.A.,Santamaria21,182
183,236.2771458333,15:45:06.515,-34.723930555555,-34:43:26.15,153.35,4.64,Lupus-I,Pre-BD,N.A.,Santamaria21,183
184,236.642370833333,15:46:34.169,-34.5505277777777,-34:33:01.90,153.35,4.64,Lupus-I,Pre-BD,N.A.,Santamaria2021,184
185,241.7441833333,16:06:58.604,-39.06885555555,-39:04:07.88,154.75,9.59,Lupus-III,Pre-BD,N.A.,Santamaria2021,185
186,242.01736666666665,16:08:04.168,-39.08134444444445,-39:04:52.84,154.75,9.59,Lupus-III,Pre-BD,N.A.,Santamaria2021,186
187,242.33370416666665,16:09:20.089,-38.75442222222222,-38:45:15.92,154.75,9.59,Lupus-III,Pre-BD,N.A.,Santamaria2021,187
188,242.33404583333333,16:09:20.171,-38.749,-38:44:56.40,154.75,9.59,Lupus-III,Pre-BD,N.A.,Santamaria2021,188
189,242.38402916666664,16:09:32.167,-39.1422972222,-39:08:32.27,154.75,9.59,Lupus-III,Pre-BD,N.A.,Santamaria2021,189
190,242.62613750000003,16:10:30.273,-38.531811111111,-38:31:54.52,154.75,9.59,Lupus-III,Pre-BD,N.A.,Santamaria2021,190
191,52.35708333,03:29:25.7,31.47119444,+31:28:16.3,293.0,22.0,Perseus,VeLLO/Protostar,0,"Enoch2010,Maureira2020",191
192,166.6292,11:06:31.7,-77.3925,-77:23:33,192.0,6.0,Chamaeleon-I,VeLLO/FHC?,N.A.,"Belloche2006,Tsitali2013,Maureira2020,Busch2020",192
193,259.921667,17:19:41.25,-26.925278,-26:55:31.67,130.0,58.0,Pipe_Nebula,VeLLO,I,Forbrich2009,193
194,247.9333,16:31:43.8,-24.92345,-24:55:24.5,144.2,1.3,Ophiuchus,Proto-BD,0,Riaz & Machida2021,194
