;Table name: LumTbol
;MariaDB types
;INT NOT NULL : ObjID,ID
;FLOAT NOT NULL DEFAULT -99.: Lint,eLint,Lbol,Tbol
;CONSTRAINT PRIMARY KEY (ObjID)
;CONSTRAINT FOREIGN KEY (ID) REFERENCES Identity(ID) ON DELETE CASCADE
;ObjID,Lint,eLint,Lbol,Tbol,ID
0,0.06050768954457146,0.003472925988211047,0.22542244207682174,112.73964845076692,0
1,0.02242285930250271,0.003768918752536989,0.1378383645873765,30.48408946239449,1
3,0.10945335782530222,0.017113409510813783,0.2866736752765059,23.346404726102534,3
35,0.11228078659570313,0.005813092963595641,0.16383264160456373,122.12528542696695,35
34,0.042591573800087684,0.008201114050674117,0.09724642127606116,26.36125033992967,34
38,0.10002968443944354,0.015753363433613637,0.4511592524791328,64.9268150374905,38
142,-99.0,-99.0,-99.0,-99.0,142
97,0.001733086146583549,0.0,0.0028774632882895236,157.65243161195187,97
318,-99.0,-99.0,-99.0,-99.0,318
2,0.1629887779333441,0.009476050875055549,0.28842050531644253,31.18356906659365,2
4,0.21732584881220288,0.003708058761557344,0.40287189670898665,853.0985121887875,4
5,0.06094348435579669,0.0134483845739824,0.09523138442611055,74.06967072880718,5
6,0.004123887291290147,0.0005473142673598123,-99.0,-99.0,6
7,0.041817143470201636,0.0016621618297708674,0.0680467954200133,59.39736041936872,7
8,0.03680934861796916,0.00032140034300435854,0.4789836140677691,16.2438903834974,8
9,0.07929057273527487,0.009103775823656785,0.26025903304775844,79.40944209305714,9
10,0.047117321403364686,0.0020405144598846063,0.21197107361667947,587.1296593330065,10
11,0.1291833041328983,0.002516721092494729,0.23697020775982697,36.72210275053161,11
12,0.1712181750629495,0.021901230053744038,0.6647444788216174,46.03177955508957,12
13,0.12146000349090862,0.004912173472942442,0.12590962539742412,67.21247945146143,13
14,0.2600723565352669,0.03157570243337294,0.7545623880681308,292.77025912379514,14
15,0.3685468685268016,0.013464679324385428,0.8388351836471934,125.99457579839158,15
16,0.6836395990038209,0.030432783870440298,2.185297518015368,308.52373689451184,16
17,0.25008167188430463,0.025832367508207364,1.9672830015112788,526.6321150577016,17
