;ID,ID_F,NAME_F,LF,WF,ZPjy,ZPerg
10,12,IRAC3,5.6,1.3,113.85,1.078e-12
10,13,IRAC4,8.5,2.5,62.0,3.227e-13
10,14,MIPS1,23.2,5.2,7.07,3.936e-15
11,10,IRAC1,3.5,0.68,277.22,6.755e-12
11,11,IRAC2,4.5,0.86,179.04,2.7269999999999996e-12
11,12,IRAC3,5.6,1.3,113.85,1.078e-12
11,13,IRAC4,8.5,2.5,62.0,3.227e-13
11,14,MIPS1,23.2,5.2,7.07,3.936e-15
12,10,IRAC1,3.5,0.68,277.22,6.755e-12
12,11,IRAC2,4.5,0.86,179.04,2.7269999999999996e-12
12,12,IRAC3,5.6,1.3,113.85,1.078e-12
12,13,IRAC4,8.5,2.5,62.0,3.227e-13
12,14,MIPS1,23.2,5.2,7.07,3.936e-15
12,15,MIPS2,68.44,21.3,0.77,4.9270000000000004e-17
13,10,IRAC1,3.5,0.68,277.22,6.755e-12
13,11,IRAC2,4.5,0.86,179.04,2.7269999999999996e-12
13,12,IRAC3,5.6,1.3,113.85,1.078e-12
13,13,IRAC4,8.5,2.5,62.0,3.227e-13
13,14,MIPS1,23.2,5.2,7.07,3.936e-15
14,10,IRAC1,3.5,0.68,277.22,6.755e-12
14,11,IRAC2,4.5,0.86,179.04,2.7269999999999996e-12
14,12,IRAC3,5.6,1.3,113.85,1.078e-12
14,13,IRAC4,8.5,2.5,62.0,3.227e-13
14,14,MIPS1,23.2,5.2,7.07,3.936e-15
15,10,IRAC1,3.5,0.68,277.22,6.755e-12
15,11,IRAC2,4.5,0.86,179.04,2.7269999999999996e-12
15,12,IRAC3,5.6,1.3,113.85,1.078e-12
15,13,IRAC4,8.5,2.5,62.0,3.227e-13
15,14,MIPS1,23.2,5.2,7.07,3.936e-15
16,10,IRAC1,3.5,0.68,277.22,6.755e-12
16,11,IRAC2,4.5,0.86,179.04,2.7269999999999996e-12
16,12,IRAC3,5.6,1.3,113.85,1.078e-12
16,13,IRAC4,8.5,2.5,62.0,3.227e-13
16,14,MIPS1,23.2,5.2,7.07,3.936e-15
17,10,IRAC1,3.5,0.68,277.22,6.755e-12
17,11,IRAC2,4.5,0.86,179.04,2.7269999999999996e-12
17,12,IRAC3,5.6,1.3,113.85,1.078e-12
