;Table name: Filters_Identity
;MariaDB types
;INT NOT NULL : ID, ID_F
;VARCHAR(30) NOT NULL DEFAULT 'N.A.' : Description
;CONSTRAINT PRIMARY KEY (ID, ID_F)
;CONSTRAINT FOREIGN KEY (ID) REFERENCES Identity(ID)
;CONSTRAINT FOREIGN KEY (ID_F) REFERENCES Filters(ID_F)
;ID,ID_F,Description
63,11,Spitzer
63,12,Spitzer
63,13,Spitzer
63,14,Spitzer
84,11,Spitzer
84,13,Spitzer
84,14,Spitzer
85,10,Spitzer
85,12,Spitzer
85,14,Spitzer
87,12,Spitzer
87,13,Spitzer
87,14,Spitzer
64,10,Spitzer
64,12,Spitzer
64,14,Spitzer
64,15,Spitzer
67,10,Spitzer
67,11,Spitzer
67,12,Spitzer
67,13,Spitzer
67,14,Spitzer
68,10,Spitzer
68,11,Spitzer
68,12,Spitzer
68,13,Spitzer
68,14,Spitzer
69,10,Spitzer
69,11,Spitzer
69,12,Spitzer
69,13,Spitzer
69,14,Spitzer
71,10,Spitzer
71,11,Spitzer
71,12,Spitzer
71,13,Spitzer
71,14,Spitzer
72,10,Spitzer
72,11,Spitzer
72,12,Spitzer
72,13,Spitzer
72,14,Spitzer
73,10,Spitzer
73,11,Spitzer
73,12,Spitzer
73,13,Spitzer
73,14,Spitzer
74,10,Spitzer
74,11,Spitzer
74,12,Spitzer
74,13,Spitzer
74,14,Spitzer
75,10,Spitzer
75,12,Spitzer
75,14,Spitzer
76,10,Spitzer
76,12,Spitzer
76,14,Spitzer
77,10,Spitzer
77,11,Spitzer
77,12,Spitzer
77,13,Spitzer
77,14,Spitzer
117,10,Spitzer
117,11,Spitzer
117,12,Spitzer
117,13,Spitzer
117,14,Spitzer
117,15,Spitzer
166,10,Spitzer
166,11,Spitzer
166,12,Spitzer
166,13,Spitzer
167,10,Spitzer
167,11,Spitzer
167,12,Spitzer
167,13,Spitzer
167,14,Spitzer
168,10,Spitzer
168,11,Spitzer
168,12,Spitzer
168,13,Spitzer
168,14,Spitzer
162,10,Spitzer
162,11,Spitzer
162,12,Spitzer
162,13,Spitzer
162,14,Spitzer
163,10,Spitzer
163,11,Spitzer
163,12,Spitzer
163,13,Spitzer
163,14,Spitzer
169,10,Spitzer
169,11,Spitzer
