;Table name: Filters_Identity
;MariaDB types
;INT NOT NULL : ID, ID_F
;VARCHAR(30) NOT NULL DEFAULT 'N.A.' : Description
;CONSTRAINT PRIMARY KEY (ID, ID_F)
;CONSTRAINT FOREIGN KEY (ID) REFERENCES Identity(ID)
;CONSTRAINT FOREIGN KEY (ID_F) REFERENCES Filters(ID_F)
;ID,ID_F,Description
193,20,Herschel
193,22,Herschel
319,17,Herschel
319,18,Herschel
319,19,Herschel
319,20,Herschel
319,21,Herschel
319,22,Herschel
320,18,Herschel
320,19,Herschel
320,20,Herschel
320,21,Herschel
320,22,Herschel
321,17,Herschel
321,18,Herschel
321,20,Herschel
321,21,Herschel
321,22,Herschel
322,18,Herschel
324,18,Herschel
324,20,Herschel
324,21,Herschel
324,22,Herschel
325,17,Herschel
3,4,NIR
3,5,NIR
3,6,NIR
35,7,NIR
35,8,NIR
35,9,NIR
38,23,NIR
142,7,NIR
142,8,NIR
142,9,NIR
97,26,NIR
97,27,NIR
97,28,NIR
0,7,NIR
0,8,NIR
0,9,NIR
4,7,NIR
4,8,NIR
4,9,NIR
10,7,NIR
10,8,NIR
10,9,NIR
14,7,NIR
14,8,NIR
14,9,NIR
186,7,NIR
186,9,NIR
189,7,NIR
189,9,NIR
190,7,NIR
190,9,NIR
16,7,NIR
16,8,NIR
16,9,NIR
17,7,NIR
17,8,NIR
17,9,NIR
18,7,NIR
18,8,NIR
18,9,NIR
19,7,NIR
19,8,NIR
19,9,NIR
26,7,NIR
26,8,NIR
26,9,NIR
28,7,NIR
28,8,NIR
28,9,NIR
29,7,NIR
29,8,NIR
29,9,NIR
30,7,NIR
30,8,NIR
30,9,NIR
37,7,NIR
37,8,NIR
37,9,NIR
39,7,NIR
39,8,NIR
39,9,NIR
40,7,NIR
40,8,NIR
40,9,NIR
42,7,NIR
42,8,NIR
42,9,NIR
46,7,NIR
46,8,NIR
46,9,NIR
47,7,NIR
47,8,NIR
47,9,NIR
58,7,NIR
58,8,NIR
58,9,NIR
59,7,NIR
59,8,NIR
59,9,NIR
62,7,NIR
62,8,NIR
62,9,NIR
63,7,NIR
63,8,NIR
63,9,NIR
84,7,NIR
84,8,NIR
84,9,NIR
68,7,NIR
68,8,NIR
68,9,NIR
73,7,NIR
73,8,NIR
73,9,NIR
75,7,NIR
75,8,NIR
75,9,NIR
76,7,NIR
76,8,NIR
76,9,NIR
7,7,NIR
7,8,NIR
7,9,NIR
167,7,NIR
167,8,NIR
167,9,NIR
162,7,NIR
162,8,NIR
162,9,NIR
164,7,NIR
164,8,NIR
164,9,NIR
171,7,NIR
171,8,NIR
171,9,NIR
172,31,NIR
172,32,NIR
101,33,NIR
101,34,NIR
101,35,NIR
94,7,NIR
94,8,NIR
94,9,NIR
90,7,NIR
90,8,NIR
90,9,NIR
89,7,NIR
89,8,NIR
89,9,NIR
88,7,NIR
88,8,NIR
88,9,NIR
55,7,NIR
55,8,NIR
55,9,NIR
53,7,NIR
53,8,NIR
53,9,NIR
193,7,NIR
193,8,NIR
193,9,NIR
194,7,NIR
194,8,NIR
194,9,NIR
198,7,NIR
198,8,NIR
198,9,NIR
199,7,NIR
199,8,NIR
199,9,NIR
200,7,NIR
200,8,NIR
200,9,NIR
201,7,NIR
201,8,NIR
201,9,NIR
202,41,NIR
202,42,NIR
202,43,NIR
204,44,NIR
204,45,NIR
206,7,NIR
206,8,NIR
206,9,NIR
207,7,NIR
207,8,NIR
207,9,NIR
301,7,NIR
301,8,NIR
301,9,NIR
313,7,NIR
313,8,NIR
313,9,NIR
314,7,NIR
314,8,NIR
314,9,NIR
315,7,NIR
315,8,NIR
315,9,NIR
316,7,NIR
316,8,NIR
316,9,NIR
317,7,NIR
317,8,NIR
317,9,NIR
321,7,NIR
321,8,NIR
321,9,NIR
323,7,NIR
323,8,NIR
323,9,NIR
324,7,NIR
324,8,NIR
324,9,NIR
