;Table name : Identity
;MariaDB types
;INT NOT NULL : ID
;VARCHAR(40) NOT NULL DEFAULT 'N.A.' : Name, OtherName
;CONSTRAINT  PRIMARY KEY (ID)
;ID, Name, OtherName
86,J153834.6-344819,"SSTc2d J153834.6-344819"
83,J054239.2-100147,"[MGM2012] 19"
82,J054128.9-022319,"HOPS 295"
81,J054020.3-075114,"HOPS 278"
80,J053534.2-045952,"HOPS 95"
79,J043202.0+251641,J043202.0+251641
78,J042818.6+365435,J042818.6+365435
70,J183047.6-024356,J183047.6-024356
66,J180941.9-033126,J180941.9-033126
65,J180449.3-043639,"SSTgbs J1804493-043639"
57,J055418.4+014903,"[MGM2012] 3473"
56,J053803.4-065815,"HOPS 156"
55,J053630.3-043216,"2MASS J05363034-0432169"
54,J053612.9-062330,J053612.9-062330
53,J053530.8-062632,"2MASS J05353091-0626320"
52,J053504.7-053712,"HOPS 38"
44,J040129.0+412128,"J040129.0+412128"
193,J171941.24-265531,"2MASS J17194124-2655317"
194,ISO-OPH200,"ISO-Oph 200"
195,L1448-IRS2E,"NAME LDN 1448 IRS 2E"
196,J182902.12+003120.7,"SSTc2d J182902.1+003121"
197,OphB-11,Oph-B11
198,IRAS04158+2805,"2MASS J04185813+2812234"
199,IRAS04248+2612,"2MASS J04275730+2619183"
200,IRAS04489+3042,"2MASS J04520668+3047175"
201,IRAS04191+1523B,"2MASS J04220007+1530248"
202,[GKH94]41,"2MASS J04194657+2712552"
203,G192S,"[LZK2016] G192S"
204,IRAS04381+2540B,"[ATH2005] IRAS 04381+2540 NIR B"
205,IRAS15398-3359,"IRAS 15398-3359"
206,Mayrit1701117,"2MASS J05402580-0248553"
207,Mayrit1082188,"2MASS J05383446-0253514"
208,B30-LB08,"[BDH2018] B30-LB08"
209,B30-LB10,"[BDH2018] B30-LB10"
210,B30-LB31,"[BDH2018] B30-LB31"
300,J182855.78+002944.8,"SSTc2d J182855.7+002944"
301,J182949.57+011706.0,"SSTc2d J182949.6+011706"
302,ChaII-APEX-A,"[DBB2016] ChaII-APEX-A"
303,ChaII-APEX-B,"[DBB2016] ChaII-APEX-B"
304,ChaII-APEX-C,"[DBB2016] ChaII-APEX-C"
305,ChaII-APEX-E,"[DBB2016] ChaII-APEX-E"
306,ChaII-APEX-F,"[DBB2016] ChaII-APEX-F"
307,ChaII-APEX-G,"[DBB2016] ChaII-APEX-G"
308,ChaII-APEX-H,"[DBB2016] ChaII-APEX-H"
309,ChaII-APEX-I,"[DBB2016] ChaII-APEX-I"
310,ChaII-APEX-J,"[DBB2016] ChaII-APEX-J"
311,ChaII-APEX-N,"[DBB2016] ChaII-APEX-N"
312,ChaII-APEX-O,"[DBB2016] ChaII-APEX-O"
313,MHO2156,"SSTc2d J163136.8-240420"
314,"SSTc2d J163152.5-245536","SSTc2d J163152.5-245536"
315,MHO3256,"SSTc2d J182957.6+011304"
316,"SSTc2d J182940.2+001513","SSTc2d J182940.2+001513"
317,J210221.2+675420,"SSTgbs J2102212+6754203"
319,"SSTc2d J182854.9+001813","SSTc2d J182854.9+001813"
320,"SSTc2d J182844.8+005126","SSTc2d J182844.8+005126"
321,"SSTc2d J183002.1+011359","SSTc2d J183002.1+011359"
322,"SSTc2d J182959.4+011041","SSTc2d J182959.4+011041"
323,"SSTc2d J182927.4+003850","SSTc2d J182959.4+011041"
324,"SSTc2d J182952.1+003644","SSTc2d J182952.1+003644"
325,SM1-A,"ALMA J162627.86-242359.5"
326,Source-X,"ALMA J162627.43-242418.2"
327,L1YSO5,"[MHR2017] L1YSO 5"
