;Table name : cm_cont
;MariaDB types
;INT NOT NULL : ObjID,ID
;BOOLEAN NOT NULL DEFAULT 0 : Variable_cm,UpperAS1,UpperAS2,UpperAS3,UpperAS4
;FLOAT NOT NULL DEFAULT -99.0 :  Lambda1,Lambda2,Lambda3,Lambda4,F_density1, F_density2,F_density3,F_density4, eF_density1,eF_density2,eF_density3,eF_density4,Peak_density1,Peak_density2,Peak_density3,Peak_density4,ePeak_density1,ePeak_density2,ePeak_density3,ePeak_density4,IntegratedFlux1,IntegratedFlux2,IntegratedFlux3, IntegratedFlux4, eIntegratedFlux1,eIntegratedFlux2,eIntegratedFlux3, eIntegratedFlux4,PABeam1,PABeam2,PABeam3,PABeam4,PASource1,PASource2,PASource3,PASource4,AngularSize_Sourcex1,AngularSize_Sourcex2,AngularSize_Sourcex3,AngularSize_Sourcex4,AngularSize_Sourcey1,AngularSize_Sourcey2,AngularSize_Sourcey3,AngularSize_Sourcey4
;VARCHAR(30) NOT NULL DEFAULT 'N.A.' : Beam1,Beam2,Beam3,Beam4,Instrument1,Instrument2,Instrument3,Instrument4
;VARCHAR(255) NOT NULL DEFAULT 'N.A.' : Pub_cm_cont1,Pub_cm_cont2,Pub_cm_cont3,Pub_cm_cont4
;CONSTRAINT PRIMARY KEY (ObjID)
;CONSTRAINT FOREIGN KEY (ID) REFERENCES Identity(ID) ON DELETE CASCADE
;ObjID,Variable_cm,Lambda1,F_density1,eF_density1,Peak_density1,ePeak_density1,IntegratedFlux1,eIntegratedFlux1,Beam1,PABeam1,AngularSize_Sourcex1,AngularSize_Sourcey1,UpperAS1,PASource1,Instrument1,Pub_cm_cont1,Lambda2,F_density2,eF_density2,Peak_density2,ePeak_density2,IntegratedFlux2,eIntegratedFlux2,Beam2,PABeam2,AngularSize_Sourcex2,AngularSize_Sourcey2,UpperAS2,PASource2,Instrument2,Pub_cm_cont2,Lambda3,F_density3,eF_density3,Peak_density3,ePeak_density3,IntegratedFlux3,eIntegratedFlux3,Beam3,PABeam3,AngularSize_Sourcex3,AngularSize_Sourcey3,UpperAS3,PASource3,Instrument3,Pub_cm_cont3,Lambda4,F_density4,eF_density4,Peak_density4,ePeak_density4,IntegratedFlux4,eIntegratedFlux4,Beam4,PABeam4,AngularSize_Sourcex4,AngularSize_Sourcey4,UpperAS4,PASource4,Instrument4,Pub_cm_cont4,ID
163,0,13000,0.15,0.04,0.08,0.02,-99.,-99.,1.8x1.6,-99,3.28,2.12,1,63.8,JVLA,Morata et al 2015,36000,0.10,0.03,0.08,0.02,-99.,-99.,2.2x1.8,-99,3.79,1.38,0,-81.4,JVLA,Morata et al 2015,-99,-99,-99,-99,-99,-99,-99,N.A.,-99,-99,-99,0,-99,N.A.,N.A.,-99,-99,-99,-99,-99,-99,-99,N.A.,-99,-99,-99,0,-99,N.A.,N.A.,163
169,0,13000,0.28,0.02,0.28,0.02,-99.,-99.,1.8x1.6,-99.,-99.,-99.,0,-99.,JVLA,Morata et al 2015,36000,0.42,0.05,0.42,0.05,-99.,-99.,2.2x1.8,-99,-99.,-99.,0,-99.,JVLA,Morata et al 2015,-99,-99,-99,-99,-99,-99,-99,N.A.,-99,-99,-99,0,-99,N.A.,N.A.,-99,-99,-99,-99,-99,-99,-99,N.A.,-99,-99,-99,0,-99,N.A.,N.A.,169
164,0,13000,0.11,0.03,0.08,0.02,-99.,-99.,1.8x1.6,-99.,4.01,0.58,1,68.4,JVLA,Morata et al 2015,36000,0.10,0.03,0.08,0.02,-99.,-99.,2.2x1.8,-99.,4.5,0.23,0,36.9,JVLA,Morata et al 2015,-99,-99,-99,-99,-99,-99,-99,N.A.,-99,-99,-99,0,-99,N.A.,N.A.,-99,-99,-99,-99,-99,-99,-99,N.A.,-99,-99,-99,0,-99,N.A.,N.A.,164
171,0,13000,0.041,0.,-99.,-99.,-99.,-99.,1.8x1.6,-99.,-99.,-99.,0,-99.,JVLA,Morata et al 2015,36000,0.205,0.,-99.,-99.,-99.,-99.,2.2x1.8,-99.,-99.,-99.,0,-99.,JVLA,Morata et al 2015,-99,-99,-99,-99,-99,-99,-99,N.A.,-99,-99,-99,0,-99,N.A.,N.A.,-99,-99,-99,-99,-99,-99,-99,N.A.,-99,-99,-99,0,-99,N.A.,N.A.,171
172,0,13000,0.036,0.,-99.,-99.,-99.,-99.,1.8x1.6,-99.,-99.,-99.,0,-99.,JVLA,Morata et al 2015,36000,0.132,0.,-99.,-99.,-99.,-99.,2.2x1.8,-99.,-99.,-99.,0,-99.,JVLA,Morata et al 2015,-99,-99,-99,-99,-99,-99,-99,N.A.,-99,-99,-99,0,-99,N.A.,N.A.,-99,-99,-99,-99,-99,-99,-99,N.A.,-99,-99,-99,0,-99,N.A.,N.A.,172
8,0,18000,0.1392,0.0182,0.1329,-99.,0.1392,0.0182,42x26.3,-99,-99.,-99.,0,-99.,AMI-LA,Scaife et al 2010,-99,-99,-99,-99,-99,-99,-99,N.A.,-99,-99,-99,0,-99,N.A.,N.A.,-99,-99,-99,-99,-99,-99,-99,N.A.,-99,-99,-99,0,-99,N.A.,N.A.,-99,-99,-99,-99,-99,-99,-99,N.A.,-99,-99,-99,0,-99,N.A.,N.A.,8
195,0,18000,71.9,0,83.7,0,71.9,0,36.6x26.5,-99,-99.,-99.,0,-99.,AMI-LA,Scaife et al 2010,-99,-99,-99,-99,-99,-99,-99,N.A.,-99,-99,-99,0,-99,N.A.,N.A.,-99,-99,-99,-99,-99,-99,-99,N.A.,-99,-99,-99,0,-99,N.A.,N.A.,-99,-99,-99,-99,-99,-99,-99,N.A.,-99,-99,-99,0,-99,N.A.,N.A.,195
173,0,8000,1.251,0.036,0.756,0.013,1.251,0.036,0.06x0.06,-99,-99.,-99.,0,-99.,VLA,Tobin et al 2016,10000,0.680,0.028,0.0458,0.011,0.680,0.028,N.A.,-99,-99,-99,0,-99,VLA,Tobin et al 2016,-99,-99,-99,-99,-99,-99,-99,N.A.,-99,-99,-99,0,-99,N.A.,N.A.,-99,-99,-99,-99,-99,-99,-99,N.A.,-99,-99,-99,0,-99,N.A.,N.A.,173
174,0,8000,0.906,0.06,0.286,0.013,0.906,0.06,0.06x0.06,-99,-99.,-99.,0,-99.,VLA,Tobin et al 2016,10000,0.551,0.048,0.188,0.011,0.551,0.048,N.A.,-99,-99,-99,0,-99,VLA,Tobin et al 2016,-99,-99,-99,-99,-99,-99,-99,N.A.,-99,-99,-99,0,-99,N.A.,N.A.,-99,-99,-99,-99,-99,-99,-99,N.A.,-99,-99,-99,0,-99,N.A.,N.A.,174
325,0,40000.,0.125,0.056,0.081,0.017,0.125,0.056,1.24x0.66,-7.6,1.24,0.66,0,-7.6,JVLA,Kawabe et al 2018,66000.,0.101,0.046,0.089,0.022,0.101,0.046,2.0x1.0,-4.8,2.0,1.0,0,-4.8,JVLA,Kawabe et al 2018,-99,-99,-99,-99,-99,-99,-99,N.A.,-99,-99,-99,-99,-99,N.A.,N.A.,-99,-99,-99,-99,-99,-99,-99,N.A.,-99,-99,-99,-99,-99,N.A.,N.A.,325
326,0,40000.,0.051,0.0,0.051,0.0,-99.,-99.,1.24x0.66,-7.6,1.24,0.66,0,-7.6,JVLA,Kawabe et al 2018,66000.,0.066,0.0,0.066,0.0,-99.,-99.,2.0x1.0,-4.8,2.0,1.0,0,-4.8,JVLA,Kawabe et al 2018,-99,-99,-99,-99,-99,-99,-99,N.A.,-99,-99,-99,-99,-99,N.A.,N.A.,-99,-99,-99,-99,-99,-99,-99,N.A.,-99,-99,-99,-99,-99,N.A.,N.A.,326
